id,date_commentaire,device,canal,sentiment,type_irritant,type_sinistre,anciennete_client,type_contrat,csat,gravite_sinistre,region_client,canal_resolution,commentaire,commentaire_clean,topic,topic_label,topic_label_clean,topic_label_exec
1,2024-11-23,Android,Web,neg,photo,collision,3-10 ans,tous_risques,2,faible,Île-de-France,App,"Très mécontent, les photos restent en attente à la fin du formulaire malgré plusieurs essais, du coup rien n'avance, merci quand même.",mécontent photo attente fin formulaire essai coup rien avance,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
2,2024-03-22,iOS,App,neg,complexité,collision,0-1 an,tiers,2,moyenne,Pays de la Loire,Téléphone,"Je suis déçu, c'est trop technique pour un sinistre simple et je perds tout, franchement je perds un temps fou, c'est pas sérieux.",décevoir trop technique sinistre simple perdre franchement perdre temps fou sérieux,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
3,2024-04-26,iOS,Email,pos,authentification,collision,3-10 ans,jeune_conducteur,4,faible,Auvergne-Rhône-Alpes,App,"Très satisfait, ça bloque sur l'authentification quand je valide le code et j'ai pu finaliser sans stress, mais tout est bien expliqué, bravo à l'équipe.",satisfait bloquer authentification valide code finaliser stress bien expliquer bravo équipe,11,id / face / reconnaissance,id / face / reconnaissance,id / face / reconnaissance
4,2024-04-22,iOS,Web,neu,photo,collision,1-3 ans,tiers,3,faible,Bourgogne-Franche-Comté,Email,"Ça pourrait être mieux, l'envoi des clichés échoue sur l'étape des justificatifs, honnêtement j'ai dû m'y reprendre, j'attends une amélioration.",mieux envoi cliché échouer étape justificatif honnêtement devoir reprendre attendre amélioration,-1,Outliers,Outliers,Outliers
5,2024-10-02,Android,Web,pos,lenteur,collision,10+ ans,tous_risques,4,moyenne,Bretagne,App,"Merci, le site rame énormément quand je joins une pièce mais la résolution a été rapide, franchement j'ai eu une réponse rapide, service efficace.",site rame énormément joindre pièce résolution être rapide franchement réponse rapide service efficace,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
6,2024-01-06,iOS,App,pos,bug,vol,1-3 ans,tiers,4,faible,Bourgogne-Franche-Comté,Email,"Merci, ça me déconnecte tout seul sur mon téléphone et j'ai pu finaliser sans stress, donc j'ai eu une réponse rapide, service efficace.",déconnecter téléphone finaliser stress réponse rapide service efficace,4,téléphone / sms / code,Authentification SMS,Authentification par SMS
7,2024-09-28,Web,Web,neg,photo,collision,10+ ans,jeune_conducteur,1,faible,Bretagne,Email,"Je suis déçu, la caméra ne s'ouvre pas même en 4G et je perds tout, honnêtement rien n'avance, j'espère que ça ira mieux.",décevoir caméra ouvrir perdre honnêtement rien avance espérer aller mieux,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
8,2024-09-27,Web,App,neg,parcours,bris_de_glace,1-3 ans,tiers,2,faible,Hauts-de-France,App,"Je suis déçu, le parcours est confus pour une simple déclaration et je perds tout, bref ça bloque encore, j'ai fini par appeler.",décevoir parcours confus simple déclaration perdre bref bloquer finir appeler,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
9,2024-01-31,Android,Téléphone,pos,photo,collision,3-10 ans,tiers,4,moyenne,Normandie,Web,"Très satisfait, l'ajout des photos bloque au moment de valider au début, puis tout s'est débloqué rapidement, franchement le suivi était clair, service efficace.",satisfait ajout photo bloqu moment valider début débloquer rapidement franchement suivi clair service efficace,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
10,2024-12-10,iOS,Web,neg,bug,vol,0-1 an,tiers,2,faible,Auvergne-Rhône-Alpes,Web,"Je suis déçu, l'application plante après la mise à jour et je perds tout, mais ça bloque encore, merci de corriger vite.",décevoir application plant mise jour perdre bloquer corriger vite,13,application / plant / confirmer,application / plant / confirmer,application / plant / confirmer
11,2024-03-26,Android,App,pos,authentification,collision,0-1 an,tous_risques,5,faible,PACA,Téléphone,"Très satisfait, le lien de connexion expire quand je valide le code au début, puis tout s'est débloqué rapidement.",satisfait lien connexion expir valide code début débloquer rapidement,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
12,2024-01-30,Android,App,pos,parcours,collision,3-10 ans,jeune_conducteur,4,moyenne,PACA,App,"Merci, je ne comprends pas les étapes entre les onglets et j'ai pu finaliser sans stress, du coup le suivi était clair, continuez comme ça.",comprendre étape onglet finaliser stress coup suivi clair continuer,8,finaliser / stress / satisfait,finaliser / stress / satisfait,finaliser / stress / satisfait
13,2024-12-08,iOS,App,neg,parcours,collision,1-3 ans,tous_risques,1,faible,Grand Est,Web,"Très mécontent, je ne comprends pas les étapes pour une simple déclaration malgré plusieurs essais, du coup rien n'avance, c'est pas sérieux.",mécontent comprendre étape simple déclaration essai coup rien avancer sérieux,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
14,2024-03-21,Android,App,neg,complexité,vol,3-10 ans,tous_risques,2,forte,Île-de-France,Email,"Très mécontent, la procédure est trop longue pour un sinistre simple, mais je perds un temps fou, je vais réessayer plus tard.",mécontent procédure trop long sinistre simple perdre temps fou réessayer tard,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
15,2024-11-20,Web,App,neg,authentification,collision,3-10 ans,jeune_conducteur,1,faible,Pays de la Loire,Web,"Très mécontent, la reconnaissance Face ID échoue même après réinitialisation et je perds tout, honnêtement je perds un temps fou, merci de corriger vite.",mécontent reconnaissance face id échouer réinitialisation perdre honnêtement perdre temps fou corriger vite,11,id / face / reconnaissance,id / face / reconnaissance,id / face / reconnaissance
16,2024-03-17,iOS,Web,neg,photo,collision,1-3 ans,jeune_conducteur,1,moyenne,Auvergne-Rhône-Alpes,App,"Très mécontent, la caméra ne s'ouvre pas pendant la déclaration et je perds tout, franchement rien n'avance, j'ai fini par appeler.",mécontent caméra ouvrir déclaration perdre franchement rien avance finir appeler,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
17,2024-07-30,Android,Web,neg,complexité,vol,10+ ans,jeune_conducteur,2,faible,PACA,App,"Franchement, trop de champs obligatoires alors que j'ai déjà envoyé malgré plusieurs essais, du coup je perds un temps fou, je vais réessayer plus tard.",franchement trop champ obligatoire envoyer essai coup perdre temps fou réessayer tard,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
18,2024-12-03,Android,App,pos,complexité,collision,3-10 ans,tous_risques,5,forte,Île-de-France,Agence,"Merci, les justificatifs demandés sont trop nombreux pour avancer au début, puis tout s'est débloqué rapidement, alors tout est bien expliqué, continuez comme ça, rapide.",justificatif demander trop avancer début débloquer rapidement bien expliquer continuer rapide,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
19,2024-10-22,Android,App,neg,parcours,vol,3-10 ans,pro,1,faible,Île-de-France,Téléphone,Je suis déçu on tourne en rond dans les écrans entre les onglets et je perds tout bref je perds un temps fou je vais.,décevoir tourne rond écran onglet perdre bref perdre temps fou,2,onglet / écran / bouton,Problèmes d'interface,Problèmes d’interface utilisateur
20,2024-10-10,Android,App,pos,parcours,catastrophe_naturelle,3-10 ans,tiers,4,faible,Auvergne-Rhône-Alpes,Téléphone,Nickel je n'arrive pas à trouver où suivre mon sinistre sur le récapitulatif mais la résolution a été rapide bref j'ai eu une réponse rapide.,nickel arriver trouver sinistre récapitulatif résolution être rapide bref réponse rapide,10,nickel / rapide / stress,nickel / rapide / stress,nickel / rapide / stress
21,2024-12-03,Android,App,neu,photo,vol,3-10 ans,tous_risques,3,faible,Auvergne-Rhône-Alpes,App,"Ça pourrait être mieux, l'ajout des photos bloque au moment de valider, mais ça passe mais c'est limite, ça manque de simplicité.",mieux ajout photo bloqu moment valider passer limite manque simplicité,0,photo / attente / ajout,Dépôt de photos lent,Dépôt de photos lent ou bloqué
22,2024-07-23,Android,Web,neg,bug,vol,0-1 an,tous_risques,1,moyenne,PACA,Web,"Ras-le-bol, le bouton valider ne fait rien au moment de confirmer, mais je perds un temps fou, c'est pas sérieux.",ras-le-bol bouton valider rien moment confirmer perdre temps fou sérieux,2,onglet / écran / bouton,Problèmes d'interface,Problèmes d’interface utilisateur
23,2024-09-15,Android,Téléphone,neg,photo,incendie,3-10 ans,tous_risques,2,moyenne,Hauts-de-France,Web,"C'est inadmissible, l'envoi des clichés échoue au moment de valider, mais je perds un temps fou, c'est pas sérieux.",inadmissible envoi cliché échouer moment valider perdre temps fou sérieux,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
24,2024-04-28,Android,App,neg,lenteur,collision,3-10 ans,tiers,2,faible,Pays de la Loire,Email,"Ras-le-bol, le chargement est interminable à chaque étape, franchement je perds un temps fou, je vais réessayer plus tard.",ras-le-bol chargement interminable étape franchement perdre temps fou réessayer tard,1,perdre / trop / rien,Perte d'informations,Perte d’informations dans le parcours
25,2024-08-02,iOS,Web,neu,authentification,collision,1-3 ans,tous_risques,3,faible,Grand Est,Téléphone,"Globalement ça va, ça bloque sur l'authentification même après réinitialisation, honnêtement j'ai dû m'y reprendre, ça manque de simplicité.",globalement bloquer authentification réinitialisation honnêtement devoir reprendre manque simplicité,11,id / face / reconnaissance,id / face / reconnaissance,id / face / reconnaissance
