id;date;device;canal;sentiment;type_photo;type_sinistre;anciennete_client;garantie;csat;gravite;region;source;commentaire;commentaire_clean;topic;topic_label;keywords
1;2024-11-23;Android;Web;neg;photo;collision;3-10 ans;tous_risques;2;faible;Île-de-France;App;Très mécontent, les photos restent en attente à la fin du formulaire malgré plusieurs essais, du coup rien n'avance, merci quand même.;mécontent photo attente fin formulaire essai coup rien avance;10;Photos en attente / rien n’avance;attente, photo, rien, avance, avancer, gramme, vite, mécontent, corriger, sérieux
2;2024-03-22;iOS;App;neg;complexité;collision;0-1 an;tiers;2;moyenne;Pays de la Loire;Téléphone;Je suis déçu, c'est trop technique pour un sinistre simple et je perds tout, franchement je perds un temps fou, c'est pas sérieux.;décevoir trop technique sinistre simple perdre franchement perdre temps fou sérieux;140;Thème 140 (à analyser);technique, trop, envoyer, simple, tard, fou, temps, réessayer, perdre, avancer
3;2024-04-26;iOS;Email;pos;authentification;collision;3-10 ans;jeune_conducteur;4;faible;Auvergne-Rhône-Alpes;App;Très satisfait, ça bloque sur l'authentification quand je valide le code et j'ai pu finaliser sans stress, mais tout est bien expliqué, bravo à l'équipe.;satisfait bloquer authentification valide code finaliser stress bien expliquer bravo équipe;-1;Commentaires généraux / hors sujet;
4;2024-04-22;iOS;Web;neu;photo;collision;1-3 ans;tiers;3;faible;Bourgogne-Franche-Comté;Email;Ça pourrait être mieux, l'envoi des clichés échoue sur l'étape des justificatifs, honnêtement j'ai dû m'y reprendre, j'attends une amélioration.;mieux envoi cliché échouer étape justificatif honnêtement devoir reprendre attendre amélioration;214;Thème 214 (à analyser);cliché, envoi, échouer, amélioration, attendre, mieux, réussir, final, mot, refuser
5;2024-10-02;Android;Web;pos;lenteur;collision;10+ ans;tous_risques;4;moyenne;Bretagne;App;Merci, le site rame énormément quand je joins une pièce mais la résolution a été rapide, franchement j'ai eu une réponse rapide, service efficace.;site rame énormément joindre pièce résolution être rapide franchement réponse rapide service efficace;121;Thème 121 (à analyser);énormément, rame, site, équipe, bravo, débloquer, rapidement, début, rapide, réponse
6;2024-01-06;iOS;App;pos;bug;vol;1-3 ans;tiers;4;faible;Bourgogne-Franche-Comté;Email;Merci, ça me déconnecte tout seul sur mon téléphone et j'ai pu finaliser sans stress, donc j'ai eu une réponse rapide, service efficace.;déconnecter téléphone finaliser stress réponse rapide service efficace;-1;Commentaires généraux / hors sujet;
7;2024-09-28;Web;Web;neg;photo;collision;10+ ans;jeune_conducteur;1;faible;Bretagne;Email;Je suis déçu, la caméra ne s'ouvre pas même en 4G et je perds tout, honnêtement rien n'avance, j'espère que ça ira mieux.;décevoir caméra ouvrir gramme perdre honnêtement rien avance espérer aller mieux;-1;Commentaires généraux / hors sujet;
8;2024-09-27;Web;App;neg;parcours;bris_de_glace;1-3 ans;tiers;2;faible;Hauts-de-France;App;Je suis déçu, le parcours est confus pour une simple déclaration et je perds tout, bref ça bloque encore, j'ai fini par appeler.;décevoir parcours confus simple déclaration perdre bref bloquer finir appeler;-1;Commentaires généraux / hors sujet;
9;2024-01-31;Android;Téléphone;pos;photo;collision;3-10 ans;tiers;4;moyenne;Normandie;Web;Très satisfait, l'ajout des photos bloque au moment de valider au début, puis tout s'est débloqué rapidement, franchement le suivi était clair, service efficace.;satisfait ajout photo bloqu moment valider début débloquer rapidement franchement suivi clair service efficace;139;Thème 139 (à analyser);débloquer, rapidement, début, efficace, service, suivi, ajout, bloqu, photo, clair
10;2024-12-10;iOS;Web;neg;bug;vol;0-1 an;tiers;2;faible;Auvergne-Rhône-Alpes;Web;Je suis déçu, l'application plante après la mise à jour et je perds tout, mais ça bloque encore, merci de corriger vite.;décevoir application plant mise jour perdre bloquer corriger vite;7;Application qui plante;application, plant, plante, appli, dernier, confirmer, mise, jour, dossier, passer
11;2024-03-26;Android;App;pos;authentification;collision;0-1 an;tous_risques;5;faible;PACA;Téléphone;Très satisfait, le lien de connexion expire quand je valide le code au début, puis tout s'est débloqué rapidement.;satisfait lien connexion expir valide code début débloquer rapidement;116;Thème 116 (à analyser);valide, connexion, expir, lien, code, aller, mitiger, sérieux, espérer, bol
12;2024-01-30;Android;App;pos;parcours;collision;3-10 ans;jeune_conducteur;4;moyenne;PACA;App;Merci, je ne comprends pas les étapes entre les onglets et j'ai pu finaliser sans stress, du coup le suivi était clair, continuez comme ça.;comprendre étape onglet finaliser stress coup suivi clair continuer;34;Thème 34 (à analyser);finaliser, stress, continuer, expérience, satisfait, expliquer, bien, suivi, clair, bouton
